t,Ax,Ay,Az,t,Ex,Ey,Ez,t,Wx,Wy,Wz
1667.00,0.01,0.00,-0.39,1669.00,0.00,-1.56,0.00,1671.00,0.00,0.19,0.00,
1676.00,0.00,0.00,-0.37,1678.00,0.00,-1.56,0.00,1680.00,-0.19,-0.06,0.00,
1686.00,0.00,-0.01,-0.38,1687.00,0.00,-1.56,0.00,1688.00,-0.19,-0.06,0.00,
1694.00,0.00,-0.02,-0.39,1695.00,0.00,-1.56,0.00,1697.00,-0.06,-0.06,-0.12,
1703.00,0.02,-0.03,-0.36,1704.00,0.00,-1.56,0.00,1708.00,0.00,0.12,-0.06,
1714.00,0.02,-0.01,-0.39,1715.00,0.00,-1.56,0.00,1716.00,0.00,0.12,-0.06,
1722.00,0.01,0.00,-0.40,1724.00,0.00,-1.56,0.00,1725.00,-0.06,0.00,-0.06,
1730.00,0.01,-0.02,-0.37,1732.00,0.00,-1.56,0.00,1733.00,0.00,-0.25,-0.06,
1738.00,0.01,-0.02,-0.37,1740.00,0.00,-1.56,0.00,1741.00,0.00,0.19,0.25,
1746.00,0.00,-0.02,-0.39,1748.00,0.00,-1.56,0.00,1751.00,-0.12,0.12,0.00,
1756.00,0.01,-0.02,-0.38,1759.00,0.00,-1.56,0.00,1761.00,0.00,0.25,0.12,
1766.00,0.01,-0.01,-0.39,1768.00,0.00,-1.56,0.00,1770.00,0.00,0.25,0.12,
1776.00,0.02,-0.01,-0.38,1778.00,0.00,-1.56,0.00,1780.00,-0.06,-0.19,0.00,
1786.00,0.00,-0.01,-0.37,1787.00,0.00,-1.56,0.00,1788.00,0.00,-0.25,0.00,
1796.00,0.02,-0.02,-0.37,1798.00,0.00,-1.56,0.00,1800.00,0.00,0.00,0.00,
1806.00,0.02,0.00,-0.36,1808.00,0.00,-1.56,0.00,1810.00,0.12,-0.06,-0.06,
1816.00,0.01,-0.02,-0.40,1818.00,0.00,-1.56,0.00,1820.00,0.00,0.12,-0.06,
1825.00,0.00,-0.01,-0.37,1828.00,0.00,-1.56,0.00,1830.00,-0.06,0.25,-0.06,
1836.00,0.01,-0.01,-0.39,1838.00,0.00,-1.56,0.00,1839.00,-0.19,0.12,-0.12,
1844.00,0.01,-0.02,-0.36,1845.00,0.00,-1.56,0.00,1847.00,-0.19,0.12,-0.12,
1853.00,0.00,-0.01,-0.36,1855.00,0.00,-1.56,0.00,1856.00,-0.12,-0.12,0.00,
1862.00,0.02,0.00,-0.38,1863.00,0.00,-1.56,0.00,1864.00,-0.06,0.06,0.00,
1870.00,0.02,0.00,-0.38,1871.00,0.00,-1.56,0.00,1872.00,0.06,-0.19,0.12,
1879.00,0.00,0.01,-0.40,1881.00,0.00,-1.56,0.00,1883.00,-0.06,0.00,0.00,
1888.00,0.02,0.00,-0.37,1889.00,0.00,-1.56,0.00,1891.00,0.06,-0.06,0.12,
1896.00,0.00,-0.02,-0.42,1899.00,0.00,-1.56,0.00,1901.00,0.06,-0.06,0.12,
1906.00,0.02,-0.03,-0.38,1908.00,0.00,-1.56,0.00,1910.00,0.06,0.06,-0.12,
1916.00,0.01,-0.02,-0.39,1918.00,0.00,-1.56,0.00,1921.00,-0.06,-0.19,-0.12,
1927.00,0.02,0.00,-0.38,1929.00,0.00,-1.56,0.00,1931.00,0.00,0.25,-0.06,
1937.00,0.03,-0.01,-0.38,1938.00,0.00,-1.56,0.00,1939.00,0.00,0.00,-0.12,
1945.00,0.01,-0.02,-0.37,1947.00,0.00,-1.56,0.00,1949.00,0.00,-0.19,0.00,
1955.00,0.00,0.00,-0.37,1957.00,0.00,-1.56,0.00,1959.00,0.00,0.06,-0.19,
1966.00,0.00,-0.01,-0.38,1969.00,0.00,-1.56,0.00,1971.00,0.06,0.00,0.00,
1976.00,0.00,0.00,-0.39,1978.00,0.00,-1.56,0.00,1980.00,-0.06,-0.06,-0.06,
1986.00,0.01,-0.02,-0.36,1988.00,0.00,-1.56,0.00,1989.00,0.12,0.00,0.12,
1995.00,0.02,0.00,-0.35,1997.00,0.00,-1.56,0.00,1999.00,0.00,0.06,0.00,
2006.00,0.00,0.00,-0.38,2008.00,0.00,-1.56,0.00,2010.00,0.00,0.06,0.00,
2016.00,0.00,0.00,-0.39,2018.00,0.00,-1.56,0.00,2020.00,0.00,0.06,0.06,
2026.00,0.02,-0.01,-0.38,2028.00,0.00,-1.56,0.00,2030.00,-0.12,0.00,0.06,
2036.00,0.00,0.00,-0.38,2037.00,0.00,-1.56,0.00,2038.00,-0.06,-0.06,0.00,
2044.00,0.01,0.00,-0.35,2045.00,0.00,-1.56,0.00,2048.00,-0.19,-0.25,-0.06,
2054.00,0.00,0.00,-0.36,2055.00,0.00,-1.56,0.00,2057.00,-0.06,-0.06,0.00,
2063.00,0.00,-0.02,-0.38,2064.00,0.00,-1.56,0.00,2065.00,0.00,0.06,-0.25,
2070.00,0.00,-0.02,-0.38,2072.00,0.00,-1.56,0.00,2073.00,0.25,-0.06,-0.06,
2078.00,0.01,-0.01,-0.37,2080.00,0.00,-1.56,0.00,2082.00,0.25,-0.06,0.06,
2088.00,0.02,0.00,-0.39,2089.00,0.00,-1.56,0.00,2092.00,0.25,-0.06,0.06,
2097.00,0.00,0.01,-0.36,2099.00,0.00,-1.56,0.00,2101.00,0.12,0.12,0.19,
2107.00,0.01,0.00,-0.38,2109.00,0.00,-1.56,0.00,2111.00,0.06,0.06,0.00,
2117.00,0.01,-0.02,-0.40,2119.00,0.00,-1.56,0.00,2121.00,0.06,0.06,0.19,
2127.00,0.00,-0.03,-0.37,2129.00,0.00,-1.56,0.00,2131.00,-0.06,0.06,-0.12,
2138.00,0.00,-0.02,-0.37,2139.00,0.00,-1.56,0.00,2140.00,-0.06,0.12,0.06,
2146.00,0.00,-0.01,-0.39,2148.00,0.00,-1.56,0.00,2150.00,0.12,-0.12,0.00,
2157.00,0.00,-0.02,-0.35,2159.00,0.00,-1.56,0.00,2161.00,0.00,-0.12,-0.06,
2167.00,0.02,0.00,-0.38,2169.00,0.00,-1.56,0.00,2171.00,0.06,0.12,-0.06,
2178.00,0.00,0.00,-0.39,2180.00,0.00,-1.56,0.00,2182.00,0.06,-0.19,-0.06,
2188.00,0.01,-0.02,-0.37,2189.00,0.00,-1.56,0.00,2190.00,0.00,0.06,-0.06,
2196.00,0.00,0.00,-0.34,2198.00,0.00,-1.56,0.00,2200.00,0.06,-0.06,0.00,
2207.00,0.00,-0.01,-0.38,2209.00,0.00,-1.56,0.00,2211.00,0.06,-0.12,0.06,
